Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,208,23114,23322,Palae,MMR005019
 Grade 1,64,4667,4731,Palae,MMR005019
 Grade 2,81,6115,6196,Palae,MMR005019
 Grade 3,116,10498,10614,Palae,MMR005019
 Grade 4,173,11896,12069,Palae,MMR005019
 Grade 5,586,33565,34151,Palae,MMR005019
 Grade 6,250,7115,7365,Palae,MMR005019
 Grade 7,182,5532,5714,Palae,MMR005019
 Grade 8,197,5162,5359,Palae,MMR005019
 Grade 9,279,5161,5440,Palae,MMR005019
 Grade 10,297,3558,3855,Palae,MMR005019
 Grade 11,507,4624,5131,Palae,MMR005019
 College,201,1829,2030,Palae,MMR005019
 Vocational training,4,170,174,Palae,MMR005019
 Undergraduate diploma,13,378,391,Palae,MMR005019
 Graduate,665,3341,4006,Palae,MMR005019
 Postgraduate diploma,7,89,96,Palae,MMR005019
 Master degree,11,66,77,Palae,MMR005019
 PhD,1,1,2,Palae,MMR005019
 Other,4,969,973,Palae,MMR005019
 Total,3846,127850,131696,Palae,MMR005019
