Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,4894,21921,26815,Panglong(ST),MMR014011
 Grade 1,670,1719,2389,Panglong(ST),MMR014011
 Grade 2,1118,1990,3108,Panglong(ST),MMR014011
 Grade 3,1448,2457,3905,Panglong(ST),MMR014011
 Grade 4,1759,2504,4263,Panglong(ST),MMR014011
 Grade 5,3517,5082,8599,Panglong(ST),MMR014011
 Grade 6,1675,1089,2764,Panglong(ST),MMR014011
 Grade 7,1400,882,2282,Panglong(ST),MMR014011
 Grade 8,1494,650,2144,Panglong(ST),MMR014011
 Grade 9,1931,499,2430,Panglong(ST),MMR014011
 Grade 10,1261,264,1525,Panglong(ST),MMR014011
 Grade 11,1951,225,2176,Panglong(ST),MMR014011
 College,456,53,509,Panglong(ST),MMR014011
 Vocational training,41,-,41,Panglong(ST),MMR014011
 Undergraduate diploma,40,19,59,Panglong(ST),MMR014011
 Graduate,992,184,1176,Panglong(ST),MMR014011
 Postgraduate diploma,25,-,25,Panglong(ST),MMR014011
 Master degree,23,51,74,Panglong(ST),MMR014011
 PhD,3,34,37,Panglong(ST),MMR014011
 Other,44,2,46,Panglong(ST),MMR014011
 Total,24742,39625,64367,Panglong(ST),MMR014011
