Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,468,4872,5340,Pansaung(ST),MMR005037
 Grade 1,131,992,1123,Pansaung(ST),MMR005037
 Grade 2,121,977,1098,Pansaung(ST),MMR005037
 Grade 3,159,1017,1176,Pansaung(ST),MMR005037
 Grade 4,132,997,1129,Pansaung(ST),MMR005037
 Grade 5,146,900,1046,Pansaung(ST),MMR005037
 Grade 6,108,440,548,Pansaung(ST),MMR005037
 Grade 7,91,374,465,Pansaung(ST),MMR005037
 Grade 8,77,293,370,Pansaung(ST),MMR005037
 Grade 9,94,356,450,Pansaung(ST),MMR005037
 Grade 10,132,214,346,Pansaung(ST),MMR005037
 Grade 11,169,274,443,Pansaung(ST),MMR005037
 College,33,44,77,Pansaung(ST),MMR005037
 Vocational training,4,10,14,Pansaung(ST),MMR005037
 Undergraduate diploma,5,15,20,Pansaung(ST),MMR005037
 Graduate,36,29,65,Pansaung(ST),MMR005037
 Postgraduate diploma,5,1,6,Pansaung(ST),MMR005037
 PhD,1,-,1,Pansaung(ST),MMR005037
 Other,-,2,2,Pansaung(ST),MMR005037
 Total,1912,11807,13719,Pansaung(ST),MMR005037
