Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,1491,23400,24891,Pantanaw,MMR017020
 Grade 1,641,10953,11594,Pantanaw,MMR017020
 Grade 2,897,15681,16578,Pantanaw,MMR017020
 Grade 3,1359,23214,24573,Pantanaw,MMR017020
 Grade 4,2025,30090,32115,Pantanaw,MMR017020
 Grade 5,2738,54293,57031,Pantanaw,MMR017020
 Grade 6,1125,12621,13746,Pantanaw,MMR017020
 Grade 7,900,9220,10120,Pantanaw,MMR017020
 Grade 8,1060,9255,10315,Pantanaw,MMR017020
 Grade 9,1152,8970,10122,Pantanaw,MMR017020
 Grade 10,1397,7923,9320,Pantanaw,MMR017020
 Grade 11,1409,7120,8529,Pantanaw,MMR017020
 College,497,1972,2469,Pantanaw,MMR017020
 Vocational training,22,73,95,Pantanaw,MMR017020
 Undergraduate diploma,38,239,277,Pantanaw,MMR017020
 Graduate,1495,3305,4800,Pantanaw,MMR017020
 Postgraduate diploma,27,123,150,Pantanaw,MMR017020
 Master degree,16,27,43,Pantanaw,MMR017020
 PhD,2,5,7,Pantanaw,MMR017020
 Other,51,2860,2911,Pantanaw,MMR017020
 Total,18342,221344,239686,Pantanaw,MMR017020
