Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,489,25642,26131,Patheingyi,MMR010007
 Grade 1,258,6645,6903,Patheingyi,MMR010007
 Grade 2,344,10072,10416,Patheingyi,MMR010007
 Grade 3,556,16234,16790,Patheingyi,MMR010007
 Grade 4,861,23371,24232,Patheingyi,MMR010007
 Grade 5,1528,55498,57026,Patheingyi,MMR010007
 Grade 6,702,14793,15495,Patheingyi,MMR010007
 Grade 7,612,11538,12150,Patheingyi,MMR010007
 Grade 8,731,11785,12516,Patheingyi,MMR010007
 Grade 9,848,11298,12146,Patheingyi,MMR010007
 Grade 10,901,9898,10799,Patheingyi,MMR010007
 Grade 11,1554,11738,13292,Patheingyi,MMR010007
 College,648,4690,5338,Patheingyi,MMR010007
 Vocational training,25,274,299,Patheingyi,MMR010007
 Undergraduate diploma,63,505,568,Patheingyi,MMR010007
 Graduate,1944,9755,11699,Patheingyi,MMR010007
 Postgraduate diploma,35,283,318,Patheingyi,MMR010007
 Master degree,54,563,617,Patheingyi,MMR010007
 PhD,9,165,174,Patheingyi,MMR010007
 Other,3,2329,2332,Patheingyi,MMR010007
 Total,12165,227076,239241,Patheingyi,MMR010007
