Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,342,1574,1916,Pharpon,MMR003003
 Grade 1,128,716,844,Pharpon,MMR003003
 Grade 2,159,826,985,Pharpon,MMR003003
 Grade 3,213,930,1143,Pharpon,MMR003003
 Grade 4,324,1232,1556,Pharpon,MMR003003
 Grade 5,275,1045,1320,Pharpon,MMR003003
 Grade 6,181,585,766,Pharpon,MMR003003
 Grade 7,221,597,818,Pharpon,MMR003003
 Grade 8,222,608,830,Pharpon,MMR003003
 Grade 9,199,470,669,Pharpon,MMR003003
 Grade 10,383,571,954,Pharpon,MMR003003
 Grade 11,106,225,331,Pharpon,MMR003003
 College,44,86,130,Pharpon,MMR003003
 Vocational training,2,-,2,Pharpon,MMR003003
 Undergraduate diploma,5,29,34,Pharpon,MMR003003
 Graduate,198,199,397,Pharpon,MMR003003
 Postgraduate diploma,6,2,8,Pharpon,MMR003003
 Master degree,2,27,29,Pharpon,MMR003003
 PhD,1,2,3,Pharpon,MMR003003
 Other,2,7,9,Pharpon,MMR003003
 Total,3013,9731,12744,Pharpon,MMR003003
