Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,409,7072,7481,Phaungpyin,MMR005032
 Grade 1,414,3905,4319,Phaungpyin,MMR005032
 Grade 2,411,4430,4841,Phaungpyin,MMR005032
 Grade 3,553,6264,6817,Phaungpyin,MMR005032
 Grade 4,1159,11694,12853,Phaungpyin,MMR005032
 Grade 5,1220,24414,25634,Phaungpyin,MMR005032
 Grade 6,541,6215,6756,Phaungpyin,MMR005032
 Grade 7,721,5660,6381,Phaungpyin,MMR005032
 Grade 8,650,5525,6175,Phaungpyin,MMR005032
 Grade 9,653,4498,5151,Phaungpyin,MMR005032
 Grade 10,964,3406,4370,Phaungpyin,MMR005032
 Grade 11,309,1781,2090,Phaungpyin,MMR005032
 College,253,943,1196,Phaungpyin,MMR005032
 Vocational training,6,60,66,Phaungpyin,MMR005032
 Undergraduate diploma,20,155,175,Phaungpyin,MMR005032
 Graduate,750,1515,2265,Phaungpyin,MMR005032
 Postgraduate diploma,9,40,49,Phaungpyin,MMR005032
 Master degree,12,15,27,Phaungpyin,MMR005032
 PhD,-,4,4,Phaungpyin,MMR005032
 Other,1,2589,2590,Phaungpyin,MMR005032
 Total,9055,90185,99240,Phaungpyin,MMR005032
