Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,1457,13805,15262,Phekon,MMR014010
 Grade 1,480,4808,5288,Phekon,MMR014010
 Grade 2,661,5439,6100,Phekon,MMR014010
 Grade 3,940,6452,7392,Phekon,MMR014010
 Grade 4,1038,6858,7896,Phekon,MMR014010
 Grade 5,1964,11307,13271,Phekon,MMR014010
 Grade 6,1050,5317,6367,Phekon,MMR014010
 Grade 7,926,4246,5172,Phekon,MMR014010
 Grade 8,943,3725,4668,Phekon,MMR014010
 Grade 9,1242,3850,5092,Phekon,MMR014010
 Grade 10,741,2651,3392,Phekon,MMR014010
 Grade 11,1792,3920,5712,Phekon,MMR014010
 College,390,917,1307,Phekon,MMR014010
 Vocational training,43,97,140,Phekon,MMR014010
 Undergraduate diploma,60,124,184,Phekon,MMR014010
 Graduate,919,1135,2054,Phekon,MMR014010
 Postgraduate diploma,18,49,67,Phekon,MMR014010
 Master degree,38,26,64,Phekon,MMR014010
 PhD,2,2,4,Phekon,MMR014010
 Other,73,349,422,Phekon,MMR014010
 Total,14777,75077,89854,Phekon,MMR014010
