Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,356,7853,8209,Pindaya,MMR014006
 Grade 1,240,2436,2676,Pindaya,MMR014006
 Grade 2,284,3377,3661,Pindaya,MMR014006
 Grade 3,423,6251,6674,Pindaya,MMR014006
 Grade 4,594,7056,7650,Pindaya,MMR014006
 Grade 5,1576,17689,19265,Pindaya,MMR014006
 Grade 6,729,4102,4831,Pindaya,MMR014006
 Grade 7,691,2990,3681,Pindaya,MMR014006
 Grade 8,576,2501,3077,Pindaya,MMR014006
 Grade 9,833,2321,3154,Pindaya,MMR014006
 Grade 10,1133,1888,3021,Pindaya,MMR014006
 Grade 11,845,1261,2106,Pindaya,MMR014006
 College,369,513,882,Pindaya,MMR014006
 Vocational training,20,31,51,Pindaya,MMR014006
 Undergraduate diploma,83,83,166,Pindaya,MMR014006
 Graduate,1164,937,2101,Pindaya,MMR014006
 Postgraduate diploma,19,26,45,Pindaya,MMR014006
 Master degree,10,9,19,Pindaya,MMR014006
 PhD,1,1,2,Pindaya,MMR014006
 Other,147,869,1016,Pindaya,MMR014006
 Total,10093,62194,72287,Pindaya,MMR014006
