Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,838,16940,17778,Pinlaung,MMR014009
 Grade 1,340,4162,4502,Pinlaung,MMR014009
 Grade 2,451,5775,6226,Pinlaung,MMR014009
 Grade 3,627,8289,8916,Pinlaung,MMR014009
 Grade 4,856,9151,10007,Pinlaung,MMR014009
 Grade 5,1472,17160,18632,Pinlaung,MMR014009
 Grade 6,715,5925,6640,Pinlaung,MMR014009
 Grade 7,710,5101,5811,Pinlaung,MMR014009
 Grade 8,895,5000,5895,Pinlaung,MMR014009
 Grade 9,950,5006,5956,Pinlaung,MMR014009
 Grade 10,1359,3797,5156,Pinlaung,MMR014009
 Grade 11,975,2688,3663,Pinlaung,MMR014009
 College,402,973,1375,Pinlaung,MMR014009
 Vocational training,42,120,162,Pinlaung,MMR014009
 Undergraduate diploma,65,99,164,Pinlaung,MMR014009
 Graduate,1008,1014,2022,Pinlaung,MMR014009
 Postgraduate diploma,20,54,74,Pinlaung,MMR014009
 Master degree,12,10,22,Pinlaung,MMR014009
 PhD,-,6,6,Pinlaung,MMR014009
 Other,19,684,703,Pinlaung,MMR014009
 Total,11756,91954,103710,Pinlaung,MMR014009
