Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,2402,4948,7350,Pobbathiri,MMR018005
 Grade 1,1003,2061,3064,Pobbathiri,MMR018005
 Grade 2,1348,2968,4316,Pobbathiri,MMR018005
 Grade 3,1903,5241,7144,Pobbathiri,MMR018005
 Grade 4,2679,7307,9986,Pobbathiri,MMR018005
 Grade 5,6741,15262,22003,Pobbathiri,MMR018005
 Grade 6,2624,4399,7023,Pobbathiri,MMR018005
 Grade 7,2291,3667,5958,Pobbathiri,MMR018005
 Grade 8,2498,3386,5884,Pobbathiri,MMR018005
 Grade 9,3180,3682,6862,Pobbathiri,MMR018005
 Grade 10,2625,2622,5247,Pobbathiri,MMR018005
 Grade 11,4344,4179,8523,Pobbathiri,MMR018005
 College,1557,1307,2864,Pobbathiri,MMR018005
 Vocational training,127,55,182,Pobbathiri,MMR018005
 Undergraduate diploma,164,109,273,Pobbathiri,MMR018005
 Graduate,4251,2924,7175,Pobbathiri,MMR018005
 Postgraduate diploma,81,43,124,Pobbathiri,MMR018005
 Master degree,127,82,209,Pobbathiri,MMR018005
 PhD,9,9,18,Pobbathiri,MMR018005
 Other,124,609,733,Pobbathiri,MMR018005
 Total,40078,64860,104938,Pobbathiri,MMR018005
