Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,7120,9301,16421,Pyay,MMR008001
 Grade 1,3734,2554,6288,Pyay,MMR008001
 Grade 2,5331,4901,10232,Pyay,MMR008001
 Grade 3,6973,7243,14216,Pyay,MMR008001
 Grade 4,16685,18674,35359,Pyay,MMR008001
 Grade 5,12931,28813,41744,Pyay,MMR008001
 Grade 6,6569,5785,12354,Pyay,MMR008001
 Grade 7,7620,5396,13016,Pyay,MMR008001
 Grade 8,9518,5682,15200,Pyay,MMR008001
 Grade 9,9377,5238,14615,Pyay,MMR008001
 Grade 10,14303,6965,21268,Pyay,MMR008001
 Grade 11,3836,1468,5304,Pyay,MMR008001
 College,4901,2684,7585,Pyay,MMR008001
 Vocational training,588,104,692,Pyay,MMR008001
 Undergraduate diploma,779,170,949,Pyay,MMR008001
 Graduate,14893,4224,19117,Pyay,MMR008001
 Postgraduate diploma,332,128,460,Pyay,MMR008001
 Master degree,515,85,600,Pyay,MMR008001
 PhD,136,11,147,Pyay,MMR008001
 Other,166,167,333,Pyay,MMR008001
 Total,126307,109593,235900,Pyay,MMR008001
