Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,277,1803,2080,Pyigyimandaing,MMR006010
 Grade 1,138,647,785,Pyigyimandaing,MMR006010
 Grade 2,300,743,1043,Pyigyimandaing,MMR006010
 Grade 3,301,1212,1513,Pyigyimandaing,MMR006010
 Grade 4,351,1301,1652,Pyigyimandaing,MMR006010
 Grade 5,446,2053,2499,Pyigyimandaing,MMR006010
 Grade 6,240,715,955,Pyigyimandaing,MMR006010
 Grade 7,204,562,766,Pyigyimandaing,MMR006010
 Grade 8,194,447,641,Pyigyimandaing,MMR006010
 Grade 9,208,618,826,Pyigyimandaing,MMR006010
 Grade 10,220,351,571,Pyigyimandaing,MMR006010
 Grade 11,194,462,656,Pyigyimandaing,MMR006010
 College,52,133,185,Pyigyimandaing,MMR006010
 Vocational training,2,8,10,Pyigyimandaing,MMR006010
 Undergraduate diploma,2,18,20,Pyigyimandaing,MMR006010
 Graduate,122,134,256,Pyigyimandaing,MMR006010
 Postgraduate diploma,3,9,12,Pyigyimandaing,MMR006010
 Master degree,5,2,7,Pyigyimandaing,MMR006010
 Other,2,12,14,Pyigyimandaing,MMR006010
 Total,3261,11230,14491,Pyigyimandaing,MMR006010
