Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,300,10555,10855,Pyinsalu(ST),MMR017016
 Grade 1,73,3661,3734,Pyinsalu(ST),MMR017016
 Grade 2,78,4994,5072,Pyinsalu(ST),MMR017016
 Grade 3,162,7774,7936,Pyinsalu(ST),MMR017016
 Grade 4,161,9219,9380,Pyinsalu(ST),MMR017016
 Grade 5,312,14756,15068,Pyinsalu(ST),MMR017016
 Grade 6,165,4978,5143,Pyinsalu(ST),MMR017016
 Grade 7,82,3101,3183,Pyinsalu(ST),MMR017016
 Grade 8,122,2858,2980,Pyinsalu(ST),MMR017016
 Grade 9,110,2750,2860,Pyinsalu(ST),MMR017016
 Grade 10,81,2041,2122,Pyinsalu(ST),MMR017016
 Grade 11,61,1637,1698,Pyinsalu(ST),MMR017016
 College,37,440,477,Pyinsalu(ST),MMR017016
 Vocational training,-,19,19,Pyinsalu(ST),MMR017016
 Undergraduate diploma,2,74,76,Pyinsalu(ST),MMR017016
 Graduate,57,651,708,Pyinsalu(ST),MMR017016
 Postgraduate diploma,2,3,5,Pyinsalu(ST),MMR017016
 Master degree,6,6,12,Pyinsalu(ST),MMR017016
 PhD,1,2,3,Pyinsalu(ST),MMR017016
 Other,45,1034,1079,Pyinsalu(ST),MMR017016
 Total,1857,70553,72410,Pyinsalu(ST),MMR017016
