Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,3928,10515,14443,Sagaing,MMR005001
 Grade 1,1876,5868,7744,Sagaing,MMR005001
 Grade 2,2644,9179,11823,Sagaing,MMR005001
 Grade 3,4169,15191,19360,Sagaing,MMR005001
 Grade 4,6464,23228,29692,Sagaing,MMR005001
 Grade 5,12516,65648,78164,Sagaing,MMR005001
 Grade 6,4565,12126,16691,Sagaing,MMR005001
 Grade 7,3913,9695,13608,Sagaing,MMR005001
 Grade 8,4618,9615,14233,Sagaing,MMR005001
 Grade 9,4972,10892,15864,Sagaing,MMR005001
 Grade 10,6153,7767,13920,Sagaing,MMR005001
 Grade 11,6188,8686,14874,Sagaing,MMR005001
 College,3361,4744,8105,Sagaing,MMR005001
 Vocational training,249,216,465,Sagaing,MMR005001
 Undergraduate diploma,479,901,1380,Sagaing,MMR005001
 Graduate,8943,8186,17129,Sagaing,MMR005001
 Postgraduate diploma,208,255,463,Sagaing,MMR005001
 Master degree,338,322,660,Sagaing,MMR005001
 PhD,41,59,100,Sagaing,MMR005001
 Other,258,6469,6727,Sagaing,MMR005001
 Total,75883,209562,285445,Sagaing,MMR005001
