Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,509,7075,7584,Sami(ST),MMR004009
 Grade 1,114,1687,1801,Sami(ST),MMR004009
 Grade 2,128,1555,1683,Sami(ST),MMR004009
 Grade 3,202,1928,2130,Sami(ST),MMR004009
 Grade 4,227,1987,2214,Sami(ST),MMR004009
 Grade 5,256,3233,3489,Sami(ST),MMR004009
 Grade 6,194,1336,1530,Sami(ST),MMR004009
 Grade 7,124,998,1122,Sami(ST),MMR004009
 Grade 8,171,995,1166,Sami(ST),MMR004009
 Grade 9,168,1064,1232,Sami(ST),MMR004009
 Grade 10,140,773,913,Sami(ST),MMR004009
 Grade 11,297,1497,1794,Sami(ST),MMR004009
 College,38,51,89,Sami(ST),MMR004009
 Vocational training,3,17,20,Sami(ST),MMR004009
 Undergraduate diploma,11,29,40,Sami(ST),MMR004009
 Graduate,65,170,235,Sami(ST),MMR004009
 Postgraduate diploma,7,7,14,Sami(ST),MMR004009
 Master degree,-,7,7,Sami(ST),MMR004009
 Other,1,9,10,Sami(ST),MMR004009
 Total,2655,24418,27073,Sami(ST),MMR004009
