Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,414,13488,13902,Seikphyu,MMR009022
 Grade 1,229,2915,3144,Seikphyu,MMR009022
 Grade 2,297,4122,4419,Seikphyu,MMR009022
 Grade 3,499,6459,6958,Seikphyu,MMR009022
 Grade 4,733,7566,8299,Seikphyu,MMR009022
 Grade 5,1035,18833,19868,Seikphyu,MMR009022
 Grade 6,408,4822,5230,Seikphyu,MMR009022
 Grade 7,481,4119,4600,Seikphyu,MMR009022
 Grade 8,542,3991,4533,Seikphyu,MMR009022
 Grade 9,648,5015,5663,Seikphyu,MMR009022
 Grade 10,783,3900,4683,Seikphyu,MMR009022
 Grade 11,726,4084,4810,Seikphyu,MMR009022
 College,282,1193,1475,Seikphyu,MMR009022
 Vocational training,80,116,196,Seikphyu,MMR009022
 Undergraduate diploma,75,192,267,Seikphyu,MMR009022
 Graduate,1107,2542,3649,Seikphyu,MMR009022
 Postgraduate diploma,26,46,72,Seikphyu,MMR009022
 Master degree,11,49,60,Seikphyu,MMR009022
 PhD,1,1,2,Seikphyu,MMR009022
 Other,36,1151,1187,Seikphyu,MMR009022
 Total,8413,84604,93017,Seikphyu,MMR009022
