Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,3427,12640,16067,Shwebo,MMR005004
 Grade 1,1438,4194,5632,Shwebo,MMR005004
 Grade 2,2050,6917,8967,Shwebo,MMR005004
 Grade 3,3209,11312,14521,Shwebo,MMR005004
 Grade 4,4969,15374,20343,Shwebo,MMR005004
 Grade 5,9298,44256,53554,Shwebo,MMR005004
 Grade 6,4138,10155,14293,Shwebo,MMR005004
 Grade 7,3523,8228,11751,Shwebo,MMR005004
 Grade 8,4056,7907,11963,Shwebo,MMR005004
 Grade 9,4262,7561,11823,Shwebo,MMR005004
 Grade 10,4632,5281,9913,Shwebo,MMR005004
 Grade 11,6087,6084,12171,Shwebo,MMR005004
 College,2814,2539,5353,Shwebo,MMR005004
 Vocational training,363,137,500,Shwebo,MMR005004
 Undergraduate diploma,408,314,722,Shwebo,MMR005004
 Graduate,8507,4952,13459,Shwebo,MMR005004
 Postgraduate diploma,273,168,441,Shwebo,MMR005004
 Master degree,290,178,468,Shwebo,MMR005004
 PhD,43,28,71,Shwebo,MMR005004
 Other,593,6055,6648,Shwebo,MMR005004
 Total,64380,154280,218660,Shwebo,MMR005004
