Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,749,3175,3924,Shwegu,MMR001011
 Grade 1,433,2064,2497,Shwegu,MMR001011
 Grade 2,545,2937,3482,Shwegu,MMR001011
 Grade 3,988,5317,6305,Shwegu,MMR001011
 Grade 4,1297,7015,8312,Shwegu,MMR001011
 Grade 5,2879,18694,21573,Shwegu,MMR001011
 Grade 6,1352,5231,6583,Shwegu,MMR001011
 Grade 7,1109,4457,5566,Shwegu,MMR001011
 Grade 8,1179,4192,5371,Shwegu,MMR001011
 Grade 9,1412,3739,5151,Shwegu,MMR001011
 Grade 10,1176,2308,3484,Shwegu,MMR001011
 Grade 11,1916,2341,4257,Shwegu,MMR001011
 College,660,872,1532,Shwegu,MMR001011
 Vocational training,14,34,48,Shwegu,MMR001011
 Undergraduate diploma,39,117,156,Shwegu,MMR001011
 Graduate,1389,1079,2468,Shwegu,MMR001011
 Postgraduate diploma,22,25,47,Shwegu,MMR001011
 Master degree,10,27,37,Shwegu,MMR001011
 PhD,-,1,1,Shwegu,MMR001011
 Other,63,698,761,Shwegu,MMR001011
 Total,17232,64323,81555,Shwegu,MMR001011
