Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,1425,8885,10310,Shwegyin,MMR007008
 Grade 1,926,3989,4915,Shwegyin,MMR007008
 Grade 2,1180,5598,6778,Shwegyin,MMR007008
 Grade 3,1770,8608,10378,Shwegyin,MMR007008
 Grade 4,2223,9403,11626,Shwegyin,MMR007008
 Grade 5,3043,13977,17020,Shwegyin,MMR007008
 Grade 6,1550,4829,6379,Shwegyin,MMR007008
 Grade 7,1242,3527,4769,Shwegyin,MMR007008
 Grade 8,1360,3238,4598,Shwegyin,MMR007008
 Grade 9,1474,3063,4537,Shwegyin,MMR007008
 Grade 10,1347,2327,3674,Shwegyin,MMR007008
 Grade 11,2272,3081,5353,Shwegyin,MMR007008
 College,708,703,1411,Shwegyin,MMR007008
 Vocational training,26,41,67,Shwegyin,MMR007008
 Undergraduate diploma,92,99,191,Shwegyin,MMR007008
 Graduate,1456,1055,2511,Shwegyin,MMR007008
 Postgraduate diploma,26,6,32,Shwegyin,MMR007008
 Master degree,30,12,42,Shwegyin,MMR007008
 PhD,13,18,31,Shwegyin,MMR007008
 Other,36,580,616,Shwegyin,MMR007008
 Total,22199,73039,95238,Shwegyin,MMR007008
