Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,406,11943,12349,Singaing,MMR010014
 Grade 1,140,3594,3734,Singaing,MMR010014
 Grade 2,214,6196,6410,Singaing,MMR010014
 Grade 3,353,8985,9338,Singaing,MMR010014
 Grade 4,898,18557,19455,Singaing,MMR010014
 Grade 5,791,26192,26983,Singaing,MMR010014
 Grade 6,443,7672,8115,Singaing,MMR010014
 Grade 7,420,7004,7424,Singaing,MMR010014
 Grade 8,525,7391,7916,Singaing,MMR010014
 Grade 9,564,6744,7308,Singaing,MMR010014
 Grade 10,799,8260,9059,Singaing,MMR010014
 Grade 11,355,2994,3349,Singaing,MMR010014
 College,406,2294,2700,Singaing,MMR010014
 Vocational training,8,248,256,Singaing,MMR010014
 Undergraduate diploma,28,417,445,Singaing,MMR010014
 Graduate,1227,6142,7369,Singaing,MMR010014
 Postgraduate diploma,31,151,182,Singaing,MMR010014
 Master degree,37,213,250,Singaing,MMR010014
 PhD,6,38,44,Singaing,MMR010014
 Other,58,3993,4051,Singaing,MMR010014
 Total,7709,129028,136737,Singaing,MMR010014
