Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,371,8541,8912,Sinku,MMR010010
 Grade 1,154,4207,4361,Sinku,MMR010010
 Grade 2,208,5890,6098,Sinku,MMR010010
 Grade 3,314,8981,9295,Sinku,MMR010010
 Grade 4,595,14759,15354,Sinku,MMR010010
 Grade 5,1223,41005,42228,Sinku,MMR010010
 Grade 6,446,10012,10458,Sinku,MMR010010
 Grade 7,376,8341,8717,Sinku,MMR010010
 Grade 8,406,8016,8422,Sinku,MMR010010
 Grade 9,442,7761,8203,Sinku,MMR010010
 Grade 10,604,5913,6517,Sinku,MMR010010
 Grade 11,568,5856,6424,Sinku,MMR010010
 College,259,2394,2653,Sinku,MMR010010
 Vocational training,4,117,121,Sinku,MMR010010
 Undergraduate diploma,82,246,328,Sinku,MMR010010
 Graduate,754,3518,4272,Sinku,MMR010010
 Postgraduate diploma,5,47,52,Sinku,MMR010010
 Master degree,8,27,35,Sinku,MMR010010
 PhD,-,4,4,Sinku,MMR010010
 Other,1,280,281,Sinku,MMR010010
 Total,6820,135915,142735,Sinku,MMR010010
