Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,135,2013,2148,Sugali(ST),MMR003005
 Grade 1,17,469,486,Sugali(ST),MMR003005
 Grade 2,21,315,336,Sugali(ST),MMR003005
 Grade 3,20,329,349,Sugali(ST),MMR003005
 Grade 4,15,338,353,Sugali(ST),MMR003005
 Grade 5,20,327,347,Sugali(ST),MMR003005
 Grade 6,9,190,199,Sugali(ST),MMR003005
 Grade 7,6,117,123,Sugali(ST),MMR003005
 Grade 8,3,99,102,Sugali(ST),MMR003005
 Grade 9,6,109,115,Sugali(ST),MMR003005
 Grade 10,1,77,78,Sugali(ST),MMR003005
 Grade 11,7,75,82,Sugali(ST),MMR003005
 College,3,27,30,Sugali(ST),MMR003005
 Vocational training,-,6,6,Sugali(ST),MMR003005
 Undergraduate diploma,1,1,2,Sugali(ST),MMR003005
 Graduate,30,10,40,Sugali(ST),MMR003005
 Postgraduate diploma,-,2,2,Sugali(ST),MMR003005
 Other,-,106,106,Sugali(ST),MMR003005
 Total,294,4610,4904,Sugali(ST),MMR003005
