Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,6110,-,6110,Tamway,MMR013015
 Grade 1,2897,-,2897,Tamway,MMR013015
 Grade 2,3663,-,3663,Tamway,MMR013015
 Grade 3,4644,-,4644,Tamway,MMR013015
 Grade 4,10696,-,10696,Tamway,MMR013015
 Grade 5,8446,-,8446,Tamway,MMR013015
 Grade 6,5928,-,5928,Tamway,MMR013015
 Grade 7,7797,-,7797,Tamway,MMR013015
 Grade 8,11197,-,11197,Tamway,MMR013015
 Grade 9,14090,-,14090,Tamway,MMR013015
 Grade 10,21348,-,21348,Tamway,MMR013015
 Grade 11,6138,-,6138,Tamway,MMR013015
 College,9994,-,9994,Tamway,MMR013015
 Vocational training,573,-,573,Tamway,MMR013015
 Undergraduate diploma,1001,-,1001,Tamway,MMR013015
 Graduate,39313,-,39313,Tamway,MMR013015
 Postgraduate diploma,1135,-,1135,Tamway,MMR013015
 Master degree,1186,-,1186,Tamway,MMR013015
 PhD,247,-,247,Tamway,MMR013015
 Other,600,-,600,Tamway,MMR013015
 Total,157003,-,157003,Tamway,MMR013015
