Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,1198,13354,14552,Tanatpin,MMR007002
 Grade 1,556,6025,6581,Tanatpin,MMR007002
 Grade 2,869,8474,9343,Tanatpin,MMR007002
 Grade 3,1094,12514,13608,Tanatpin,MMR007002
 Grade 4,1381,13908,15289,Tanatpin,MMR007002
 Grade 5,2338,25240,27578,Tanatpin,MMR007002
 Grade 6,945,6313,7258,Tanatpin,MMR007002
 Grade 7,754,4818,5572,Tanatpin,MMR007002
 Grade 8,772,4391,5163,Tanatpin,MMR007002
 Grade 9,757,4323,5080,Tanatpin,MMR007002
 Grade 10,807,2512,3319,Tanatpin,MMR007002
 Grade 11,895,3187,4082,Tanatpin,MMR007002
 College,407,945,1352,Tanatpin,MMR007002
 Vocational training,6,55,61,Tanatpin,MMR007002
 Undergraduate diploma,25,141,166,Tanatpin,MMR007002
 Graduate,1134,1794,2928,Tanatpin,MMR007002
 Postgraduate diploma,34,39,73,Tanatpin,MMR007002
 Master degree,13,14,27,Tanatpin,MMR007002
 PhD,3,2,5,Tanatpin,MMR007002
 Other,382,7647,8029,Tanatpin,MMR007002
 Total,14370,115696,130066,Tanatpin,MMR007002
