Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,513,9933,10446,Tasei,MMR005011
 Grade 1,289,3779,4068,Tasei,MMR005011
 Grade 2,463,5190,5653,Tasei,MMR005011
 Grade 3,776,7583,8359,Tasei,MMR005011
 Grade 4,1415,10871,12286,Tasei,MMR005011
 Grade 5,2409,50766,53175,Tasei,MMR005011
 Grade 6,912,8884,9796,Tasei,MMR005011
 Grade 7,845,7957,8802,Tasei,MMR005011
 Grade 8,924,7908,8832,Tasei,MMR005011
 Grade 9,839,6943,7782,Tasei,MMR005011
 Grade 10,1086,4603,5689,Tasei,MMR005011
 Grade 11,715,5017,5732,Tasei,MMR005011
 College,483,1675,2158,Tasei,MMR005011
 Vocational training,22,97,119,Tasei,MMR005011
 Undergraduate diploma,16,209,225,Tasei,MMR005011
 Graduate,1421,3090,4511,Tasei,MMR005011
 Postgraduate diploma,11,46,57,Tasei,MMR005011
 Master degree,19,45,64,Tasei,MMR005011
 PhD,1,3,4,Tasei,MMR005011
 Other,52,1915,1967,Tasei,MMR005011
 Total,13211,136514,149725,Tasei,MMR005011
