Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,253,785,1038,Taungpyoletwe(ST),MMR012009
 Grade 1,28,77,105,Taungpyoletwe(ST),MMR012009
 Grade 2,34,78,112,Taungpyoletwe(ST),MMR012009
 Grade 3,31,107,138,Taungpyoletwe(ST),MMR012009
 Grade 4,32,98,130,Taungpyoletwe(ST),MMR012009
 Grade 5,49,162,211,Taungpyoletwe(ST),MMR012009
 Grade 6,20,65,85,Taungpyoletwe(ST),MMR012009
 Grade 7,12,46,58,Taungpyoletwe(ST),MMR012009
 Grade 8,16,29,45,Taungpyoletwe(ST),MMR012009
 Grade 9,26,42,68,Taungpyoletwe(ST),MMR012009
 Grade 10,18,26,44,Taungpyoletwe(ST),MMR012009
 Grade 11,38,36,74,Taungpyoletwe(ST),MMR012009
 College,8,11,19,Taungpyoletwe(ST),MMR012009
 Vocational training,1,-,1,Taungpyoletwe(ST),MMR012009
 Undergraduate diploma,17,6,23,Taungpyoletwe(ST),MMR012009
 Graduate,43,40,83,Taungpyoletwe(ST),MMR012009
 Postgraduate diploma,1,-,1,Taungpyoletwe(ST),MMR012009
 Master degree,-,1,1,Taungpyoletwe(ST),MMR012009
 Other,2,1,3,Taungpyoletwe(ST),MMR012009
 Total,629,1610,2239,Taungpyoletwe(ST),MMR012009
