Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,728,8931,9659,Tedim,MMR004004
 Grade 1,445,3708,4153,Tedim,MMR004004
 Grade 2,506,3918,4424,Tedim,MMR004004
 Grade 3,553,5123,5676,Tedim,MMR004004
 Grade 4,630,5693,6323,Tedim,MMR004004
 Grade 5,1104,9278,10382,Tedim,MMR004004
 Grade 6,596,4425,5021,Tedim,MMR004004
 Grade 7,659,3909,4568,Tedim,MMR004004
 Grade 8,706,4057,4763,Tedim,MMR004004
 Grade 9,994,4420,5414,Tedim,MMR004004
 Grade 10,1201,3441,4642,Tedim,MMR004004
 Grade 11,2070,4742,6812,Tedim,MMR004004
 College,348,504,852,Tedim,MMR004004
 Vocational training,46,108,154,Tedim,MMR004004
 Undergraduate diploma,125,247,372,Tedim,MMR004004
 Graduate,1173,900,2073,Tedim,MMR004004
 Postgraduate diploma,68,82,150,Tedim,MMR004004
 Master degree,41,59,100,Tedim,MMR004004
 PhD,8,4,12,Tedim,MMR004004
 Other,11,18,29,Tedim,MMR004004
 Total,12012,63567,75579,Tedim,MMR004004
