Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,852,953,1805,Thandaunggyi,MMR003004
 Grade 1,689,792,1481,Thandaunggyi,MMR003004
 Grade 2,830,878,1708,Thandaunggyi,MMR003004
 Grade 3,1072,1166,2238,Thandaunggyi,MMR003004
 Grade 4,1330,1249,2579,Thandaunggyi,MMR003004
 Grade 5,1729,2062,3791,Thandaunggyi,MMR003004
 Grade 6,1009,1087,2096,Thandaunggyi,MMR003004
 Grade 7,928,805,1733,Thandaunggyi,MMR003004
 Grade 8,1048,809,1857,Thandaunggyi,MMR003004
 Grade 9,1058,851,1909,Thandaunggyi,MMR003004
 Grade 10,1742,1071,2813,Thandaunggyi,MMR003004
 Grade 11,710,436,1146,Thandaunggyi,MMR003004
 College,372,69,441,Thandaunggyi,MMR003004
 Vocational training,50,26,76,Thandaunggyi,MMR003004
 Undergraduate diploma,78,8,86,Thandaunggyi,MMR003004
 Graduate,751,135,886,Thandaunggyi,MMR003004
 Postgraduate diploma,16,4,20,Thandaunggyi,MMR003004
 Master degree,51,-,51,Thandaunggyi,MMR003004
 PhD,2,-,2,Thandaunggyi,MMR003004
 Other,9,4,13,Thandaunggyi,MMR003004
 Total,14326,12405,26731,Thandaunggyi,MMR003004
