Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,4164,13748,17912,Thanlyin,MMR013023
 Grade 1,2536,8664,11200,Thanlyin,MMR013023
 Grade 2,3308,10721,14029,Thanlyin,MMR013023
 Grade 3,3750,13525,17275,Thanlyin,MMR013023
 Grade 4,8664,29828,38492,Thanlyin,MMR013023
 Grade 5,7491,20146,27637,Thanlyin,MMR013023
 Grade 6,4629,10040,14669,Thanlyin,MMR013023
 Grade 7,4786,9872,14658,Thanlyin,MMR013023
 Grade 8,6486,11128,17614,Thanlyin,MMR013023
 Grade 9,6439,11239,17678,Thanlyin,MMR013023
 Grade 10,9401,11994,21395,Thanlyin,MMR013023
 Grade 11,3901,2716,6617,Thanlyin,MMR013023
 College,3490,3721,7211,Thanlyin,MMR013023
 Vocational training,214,185,399,Thanlyin,MMR013023
 Undergraduate diploma,454,701,1155,Thanlyin,MMR013023
 Graduate,10080,6792,16872,Thanlyin,MMR013023
 Postgraduate diploma,260,138,398,Thanlyin,MMR013023
 Master degree,194,152,346,Thanlyin,MMR013023
 PhD,54,41,95,Thanlyin,MMR013023
 Other,151,787,938,Thanlyin,MMR013023
 Total,80452,166138,246590,Thanlyin,MMR013023
