Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,966,19123,20089,Thazi,MMR010030
 Grade 1,245,5230,5475,Thazi,MMR010030
 Grade 2,505,7683,8188,Thazi,MMR010030
 Grade 3,780,12655,13435,Thazi,MMR010030
 Grade 4,1184,16612,17796,Thazi,MMR010030
 Grade 5,2741,44441,47182,Thazi,MMR010030
 Grade 6,1173,10485,11658,Thazi,MMR010030
 Grade 7,1098,9351,10449,Thazi,MMR010030
 Grade 8,1181,8453,9634,Thazi,MMR010030
 Grade 9,1473,8522,9995,Thazi,MMR010030
 Grade 10,1621,5585,7206,Thazi,MMR010030
 Grade 11,2547,8257,10804,Thazi,MMR010030
 College,1024,2631,3655,Thazi,MMR010030
 Vocational training,90,90,180,Thazi,MMR010030
 Undergraduate diploma,155,441,596,Thazi,MMR010030
 Graduate,2237,4369,6606,Thazi,MMR010030
 Postgraduate diploma,53,108,161,Thazi,MMR010030
 Master degree,39,66,105,Thazi,MMR010030
 PhD,6,6,12,Thazi,MMR010030
 Other,15,927,942,Thazi,MMR010030
 Total,19133,165035,184168,Thazi,MMR010030
