Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,374,7029,7403,Tigyaing,MMR005022
 Grade 1,282,3466,3748,Tigyaing,MMR005022
 Grade 2,452,4521,4973,Tigyaing,MMR005022
 Grade 3,665,7426,8091,Tigyaing,MMR005022
 Grade 4,1321,12118,13439,Tigyaing,MMR005022
 Grade 5,2438,33083,35521,Tigyaing,MMR005022
 Grade 6,802,7348,8150,Tigyaing,MMR005022
 Grade 7,748,6179,6927,Tigyaing,MMR005022
 Grade 8,885,5719,6604,Tigyaing,MMR005022
 Grade 9,791,4678,5469,Tigyaing,MMR005022
 Grade 10,1321,3816,5137,Tigyaing,MMR005022
 Grade 11,559,2703,3262,Tigyaing,MMR005022
 College,440,1757,2197,Tigyaing,MMR005022
 Vocational training,4,64,68,Tigyaing,MMR005022
 Undergraduate diploma,27,145,172,Tigyaing,MMR005022
 Graduate,1216,2631,3847,Tigyaing,MMR005022
 Postgraduate diploma,20,47,67,Tigyaing,MMR005022
 Master degree,8,17,25,Tigyaing,MMR005022
 PhD,2,3,5,Tigyaing,MMR005022
 Other,40,2488,2528,Tigyaing,MMR005022
 Total,12395,105238,117633,Tigyaing,MMR005022
