Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,2617,12730,15347,Waingmaw,MMR001002
 Grade 1,730,3393,4123,Waingmaw,MMR001002
 Grade 2,981,4203,5184,Waingmaw,MMR001002
 Grade 3,1141,5793,6934,Waingmaw,MMR001002
 Grade 4,1486,6607,8093,Waingmaw,MMR001002
 Grade 5,2042,9570,11612,Waingmaw,MMR001002
 Grade 6,1467,5883,7350,Waingmaw,MMR001002
 Grade 7,1255,4952,6207,Waingmaw,MMR001002
 Grade 8,1478,5124,6602,Waingmaw,MMR001002
 Grade 9,1496,5341,6837,Waingmaw,MMR001002
 Grade 10,1767,4459,6226,Waingmaw,MMR001002
 Grade 11,1385,3840,5225,Waingmaw,MMR001002
 College,660,1133,1793,Waingmaw,MMR001002
 Vocational training,18,93,111,Waingmaw,MMR001002
 Undergraduate diploma,38,133,171,Waingmaw,MMR001002
 Graduate,1001,1266,2267,Waingmaw,MMR001002
 Postgraduate diploma,107,102,209,Waingmaw,MMR001002
 Master degree,35,30,65,Waingmaw,MMR001002
 PhD,4,1,5,Waingmaw,MMR001002
 Other,149,82,231,Waingmaw,MMR001002
 Total,19857,74735,94592,Waingmaw,MMR001002
