Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,2185,10378,12563,Waw,MMR007004
 Grade 1,752,6221,6973,Waw,MMR007004
 Grade 2,1159,9036,10195,Waw,MMR007004
 Grade 3,1737,14701,16438,Waw,MMR007004
 Grade 4,1945,16697,18642,Waw,MMR007004
 Grade 5,3601,30602,34203,Waw,MMR007004
 Grade 6,1325,9110,10435,Waw,MMR007004
 Grade 7,1062,7070,8132,Waw,MMR007004
 Grade 8,1012,6284,7296,Waw,MMR007004
 Grade 9,1147,6103,7250,Waw,MMR007004
 Grade 10,960,3497,4457,Waw,MMR007004
 Grade 11,1663,5059,6722,Waw,MMR007004
 College,529,1430,1959,Waw,MMR007004
 Vocational training,39,44,83,Waw,MMR007004
 Undergraduate diploma,95,123,218,Waw,MMR007004
 Graduate,1558,2422,3980,Waw,MMR007004
 Postgraduate diploma,28,59,87,Waw,MMR007004
 Master degree,24,22,46,Waw,MMR007004
 PhD,2,7,9,Waw,MMR007004
 Other,110,7646,7756,Waw,MMR007004
 Total,20933,136511,157444,Waw,MMR007004
