Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,1654,29168,30822,Yame`thin,MMR010023
 Grade 1,803,7039,7842,Yame`thin,MMR010023
 Grade 2,961,11367,12328,Yame`thin,MMR010023
 Grade 3,1340,18849,20189,Yame`thin,MMR010023
 Grade 4,2948,31063,34011,Yame`thin,MMR010023
 Grade 5,2153,54172,56325,Yame`thin,MMR010023
 Grade 6,1335,12529,13864,Yame`thin,MMR010023
 Grade 7,1510,10573,12083,Yame`thin,MMR010023
 Grade 8,1792,10107,11899,Yame`thin,MMR010023
 Grade 9,2359,8399,10758,Yame`thin,MMR010023
 Grade 10,2743,9295,12038,Yame`thin,MMR010023
 Grade 11,1260,3267,4527,Yame`thin,MMR010023
 College,2055,2383,4438,Yame`thin,MMR010023
 Vocational training,63,151,214,Yame`thin,MMR010023
 Undergraduate diploma,88,324,412,Yame`thin,MMR010023
 Graduate,2583,3483,6066,Yame`thin,MMR010023
 Postgraduate diploma,42,95,137,Yame`thin,MMR010023
 Master degree,55,50,105,Yame`thin,MMR010023
 PhD,6,7,13,Yame`thin,MMR010023
 Other,34,154,188,Yame`thin,MMR010023
 Total,25784,212475,238259,Yame`thin,MMR010023
