Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,2999,15128,18127,Yenangyoung,MMR009002
 Grade 1,1076,2598,3674,Yenangyoung,MMR009002
 Grade 2,1410,3984,5394,Yenangyoung,MMR009002
 Grade 3,2027,5793,7820,Yenangyoung,MMR009002
 Grade 4,3139,7453,10592,Yenangyoung,MMR009002
 Grade 5,5087,19328,24415,Yenangyoung,MMR009002
 Grade 6,2506,4553,7059,Yenangyoung,MMR009002
 Grade 7,2210,3961,6171,Yenangyoung,MMR009002
 Grade 8,2835,4098,6933,Yenangyoung,MMR009002
 Grade 9,3515,4532,8047,Yenangyoung,MMR009002
 Grade 10,2972,2546,5518,Yenangyoung,MMR009002
 Grade 11,4649,2677,7326,Yenangyoung,MMR009002
 College,1661,968,2629,Yenangyoung,MMR009002
 Vocational training,442,136,578,Yenangyoung,MMR009002
 Undergraduate diploma,618,106,724,Yenangyoung,MMR009002
 Graduate,4599,1458,6057,Yenangyoung,MMR009002
 Postgraduate diploma,98,38,136,Yenangyoung,MMR009002
 Master degree,99,39,138,Yenangyoung,MMR009002
 PhD,30,1,31,Yenangyoung,MMR009002
 Other,55,1969,2024,Yenangyoung,MMR009002
 Total,42027,81366,123393,Yenangyoung,MMR009002
