Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,878,16622,17500,Yethedaung,MMR012008
 Grade 1,812,5283,6095,Yethedaung,MMR012008
 Grade 2,263,7365,7628,Yethedaung,MMR012008
 Grade 3,424,11087,11511,Yethedaung,MMR012008
 Grade 4,514,14082,14596,Yethedaung,MMR012008
 Grade 5,969,18044,19013,Yethedaung,MMR012008
 Grade 6,336,5606,5942,Yethedaung,MMR012008
 Grade 7,270,4082,4352,Yethedaung,MMR012008
 Grade 8,282,3653,3935,Yethedaung,MMR012008
 Grade 9,340,3224,3564,Yethedaung,MMR012008
 Grade 10,291,1990,2281,Yethedaung,MMR012008
 Grade 11,558,2404,2962,Yethedaung,MMR012008
 College,271,768,1039,Yethedaung,MMR012008
 Vocational training,12,68,80,Yethedaung,MMR012008
 Undergraduate diploma,18,176,194,Yethedaung,MMR012008
 Graduate,668,1197,1865,Yethedaung,MMR012008
 Postgraduate diploma,16,155,171,Yethedaung,MMR012008
 Master degree,1,17,18,Yethedaung,MMR012008
 PhD,2,1,3,Yethedaung,MMR012008
 Other,3,296,299,Yethedaung,MMR012008
 Total,6928,96120,103048,Yethedaung,MMR012008
