Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 None,1403,4449,5852,Zeyarthiri,MMR018001
 Grade 1,690,2433,3123,Zeyarthiri,MMR018001
 Grade 2,1013,3701,4714,Zeyarthiri,MMR018001
 Grade 3,1549,5546,7095,Zeyarthiri,MMR018001
 Grade 4,2108,7299,9407,Zeyarthiri,MMR018001
 Grade 5,3695,16406,20101,Zeyarthiri,MMR018001
 Grade 6,1923,4557,6480,Zeyarthiri,MMR018001
 Grade 7,1693,3751,5444,Zeyarthiri,MMR018001
 Grade 8,1821,3554,5375,Zeyarthiri,MMR018001
 Grade 9,2301,3832,6133,Zeyarthiri,MMR018001
 Grade 10,2355,2636,4991,Zeyarthiri,MMR018001
 Grade 11,3483,4468,7951,Zeyarthiri,MMR018001
 College,1602,1493,3095,Zeyarthiri,MMR018001
 Vocational training,113,95,208,Zeyarthiri,MMR018001
 Undergraduate diploma,279,537,816,Zeyarthiri,MMR018001
 Graduate,4789,3387,8176,Zeyarthiri,MMR018001
 Postgraduate diploma,83,61,144,Zeyarthiri,MMR018001
 Master degree,712,307,1019,Zeyarthiri,MMR018001
 PhD,60,98,158,Zeyarthiri,MMR018001
 Other,28,255,283,Zeyarthiri,MMR018001
 Total,31700,68865,100565,Zeyarthiri,MMR018001
