Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),147374,115797,263171,Bago,MMR007001
 Associate Scrutiny Card (blue),240,43,283,Bago,MMR007001
 Naturalised Scrutiny Card (green),1713,577,2290,Bago,MMR007001
 National Registration Card (3-fold),2442,1695,4137,Bago,MMR007001
 Religious card,4178,1572,5750,Bago,MMR007001
 Temporary Registration Card (white),1026,676,1702,Bago,MMR007001
 Foreign Registration Card (FRC),71,28,99,Bago,MMR007001
 Foreign Passport,135,123,258,Bago,MMR007001
 None,56772,68125,124897,Bago,MMR007001
 Child under 10 years,40473,48374,88847,Bago,MMR007001
 Total,254424,237010,491434,Bago,MMR007001
