Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),4352,58516,62868,Banmauk,MMR005023
 Associate Scrutiny Card (blue),1,26,27,Banmauk,MMR005023
 Naturalised Scrutiny Card (green),6,112,118,Banmauk,MMR005023
 National Registration Card (3-fold),9,451,460,Banmauk,MMR005023
 Religious card,18,387,405,Banmauk,MMR005023
 Temporary Registration Card (white),1,153,154,Banmauk,MMR005023
 Foreign Registration Card (FRC),1,-,1,Banmauk,MMR005023
 Foreign Passport,1,9,10,Banmauk,MMR005023
 None,682,21949,22631,Banmauk,MMR005023
 Child under 10 years,1094,24900,25994,Banmauk,MMR005023
 Total,6165,106503,112668,Banmauk,MMR005023
