Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),1535,8023,9558,Bawgali(ST),MMR003004
 Associate Scrutiny Card (blue),-,2,2,Bawgali(ST),MMR003004
 Naturalised Scrutiny Card (green),-,14,14,Bawgali(ST),MMR003004
 National Registration Card (3-fold),1,77,78,Bawgali(ST),MMR003004
 Religious card,1,6,7,Bawgali(ST),MMR003004
 Temporary Registration Card (white),7,85,92,Bawgali(ST),MMR003004
 Foreign Passport,-,4,4,Bawgali(ST),MMR003004
 None,138,3127,3265,Bawgali(ST),MMR003004
 Child under 10 years,317,3900,4217,Bawgali(ST),MMR003004
 Total,1999,15238,17237,Bawgali(ST),MMR003004
