Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),30218,-,30218,Botahtaung,MMR013017
 Associate Scrutiny Card (blue),261,-,261,Botahtaung,MMR013017
 Naturalised Scrutiny Card (green),513,-,513,Botahtaung,MMR013017
 National Registration Card (3-fold),1043,-,1043,Botahtaung,MMR013017
 Religious card,248,-,248,Botahtaung,MMR013017
 Temporary Registration Card (white),227,-,227,Botahtaung,MMR013017
 Foreign Registration Card (FRC),157,-,157,Botahtaung,MMR013017
 Foreign Passport,322,-,322,Botahtaung,MMR013017
 None,3771,-,3771,Botahtaung,MMR013017
 Child under 10 years,4235,-,4235,Botahtaung,MMR013017
 Total,40995,-,40995,Botahtaung,MMR013017
