Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),150903,-,150903,Chanayeharzan,MMR010002
 Associate Scrutiny Card (blue),917,-,917,Chanayeharzan,MMR010002
 Naturalised Scrutiny Card (green),1087,-,1087,Chanayeharzan,MMR010002
 National Registration Card (3-fold),1151,-,1151,Chanayeharzan,MMR010002
 Religious card,3120,-,3120,Chanayeharzan,MMR010002
 Temporary Registration Card (white),447,-,447,Chanayeharzan,MMR010002
 Foreign Registration Card (FRC),221,-,221,Chanayeharzan,MMR010002
 Foreign Passport,785,-,785,Chanayeharzan,MMR010002
 None,18100,-,18100,Chanayeharzan,MMR010002
 Child under 10 years,20444,-,20444,Chanayeharzan,MMR010002
 Total,197175,-,197175,Chanayeharzan,MMR010002
