Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),32341,85031,117372,Chauk,MMR009003
 Associate Scrutiny Card (blue),63,21,84,Chauk,MMR009003
 Naturalised Scrutiny Card (green),90,129,219,Chauk,MMR009003
 National Registration Card (3-fold),106,842,948,Chauk,MMR009003
 Religious card,462,469,931,Chauk,MMR009003
 Temporary Registration Card (white),128,221,349,Chauk,MMR009003
 Foreign Registration Card (FRC),16,2,18,Chauk,MMR009003
 Foreign Passport,15,7,22,Chauk,MMR009003
 None,5622,28423,34045,Chauk,MMR009003
 Child under 10 years,6233,24968,31201,Chauk,MMR009003
 Total,45076,140113,185189,Chauk,MMR009003
