Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),925,4574,5499,Cikha(ST),MMR004005
 Associate Scrutiny Card (blue),-,4,4,Cikha(ST),MMR004005
 Naturalised Scrutiny Card (green),-,1,1,Cikha(ST),MMR004005
 National Registration Card (3-fold),-,32,32,Cikha(ST),MMR004005
 Religious card,1,-,1,Cikha(ST),MMR004005
 Temporary Registration Card (white),-,34,34,Cikha(ST),MMR004005
 Foreign Registration Card (FRC),-,6,6,Cikha(ST),MMR004005
 None,123,2315,2438,Cikha(ST),MMR004005
 Child under 10 years,401,2740,3141,Cikha(ST),MMR004005
 Total,1450,9706,11156,Cikha(ST),MMR004005
