Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),55508,27675,83183,Dala,MMR013030
 Associate Scrutiny Card (blue),74,19,93,Dala,MMR013030
 Naturalised Scrutiny Card (green),1683,441,2124,Dala,MMR013030
 National Registration Card (3-fold),5125,840,5965,Dala,MMR013030
 Religious card,258,227,485,Dala,MMR013030
 Temporary Registration Card (white),644,318,962,Dala,MMR013030
 Foreign Registration Card (FRC),55,4,59,Dala,MMR013030
 Foreign Passport,30,19,49,Dala,MMR013030
 None,33677,14064,47741,Dala,MMR013030
 Child under 10 years,22312,9884,32196,Dala,MMR013030
 Total,119366,53491,172857,Dala,MMR013030
