Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),56290,27324,83614,Dawei,MMR006001
 Associate Scrutiny Card (blue),88,15,103,Dawei,MMR006001
 Naturalised Scrutiny Card (green),294,25,319,Dawei,MMR006001
 National Registration Card (3-fold),383,196,579,Dawei,MMR006001
 Religious card,635,183,818,Dawei,MMR006001
 Temporary Registration Card (white),214,41,255,Dawei,MMR006001
 Foreign Registration Card (FRC),41,58,99,Dawei,MMR006001
 Foreign Passport,73,108,181,Dawei,MMR006001
 None,9834,8280,18114,Dawei,MMR006001
 Child under 10 years,12265,9258,21523,Dawei,MMR006001
 Total,80117,45488,125605,Dawei,MMR006001
