Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),9740,102430,112170,Daydaye,MMR017026
 Associate Scrutiny Card (blue),91,38,129,Daydaye,MMR017026
 Naturalised Scrutiny Card (green),101,288,389,Daydaye,MMR017026
 National Registration Card (3-fold),45,557,602,Daydaye,MMR017026
 Religious card,147,629,776,Daydaye,MMR017026
 Temporary Registration Card (white),8,202,210,Daydaye,MMR017026
 Foreign Registration Card (FRC),13,6,19,Daydaye,MMR017026
 Foreign Passport,5,32,37,Daydaye,MMR017026
 None,2945,44949,47894,Daydaye,MMR017026
 Child under 10 years,2225,38475,40700,Daydaye,MMR017026
 Total,15320,187606,202926,Daydaye,MMR017026
