Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),9318,99196,108514,Einme,MMR017015
 Associate Scrutiny Card (blue),20,33,53,Einme,MMR017015
 Naturalised Scrutiny Card (green),15,144,159,Einme,MMR017015
 National Registration Card (3-fold),30,393,423,Einme,MMR017015
 Religious card,57,398,455,Einme,MMR017015
 Temporary Registration Card (white),8,110,118,Einme,MMR017015
 Foreign Registration Card (FRC),5,8,13,Einme,MMR017015
 Foreign Passport,1,35,36,Einme,MMR017015
 None,2062,43677,45739,Einme,MMR017015
 Child under 10 years,2038,36553,38591,Einme,MMR017015
 Total,13554,180547,194101,Einme,MMR017015
