Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),15781,54437,70218,Gyobingauk,MMR008014
 Associate Scrutiny Card (blue),44,10,54,Gyobingauk,MMR008014
 Naturalised Scrutiny Card (green),117,200,317,Gyobingauk,MMR008014
 National Registration Card (3-fold),38,542,580,Gyobingauk,MMR008014
 Religious card,377,321,698,Gyobingauk,MMR008014
 Temporary Registration Card (white),36,117,153,Gyobingauk,MMR008014
 Foreign Registration Card (FRC),30,-,30,Gyobingauk,MMR008014
 Foreign Passport,12,11,23,Gyobingauk,MMR008014
 None,3520,25264,28784,Gyobingauk,MMR008014
 Child under 10 years,2992,13584,16576,Gyobingauk,MMR008014
 Total,22947,94486,117433,Gyobingauk,MMR008014
