Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),2295,4273,6568,Hsinbo(ST),MMR001001
 Associate Scrutiny Card (blue),-,3,3,Hsinbo(ST),MMR001001
 Naturalised Scrutiny Card (green),2,5,7,Hsinbo(ST),MMR001001
 National Registration Card (3-fold),2,27,29,Hsinbo(ST),MMR001001
 Religious card,13,24,37,Hsinbo(ST),MMR001001
 Temporary Registration Card (white),40,6,46,Hsinbo(ST),MMR001001
 Foreign Passport,2,-,2,Hsinbo(ST),MMR001001
 None,431,1226,1657,Hsinbo(ST),MMR001001
 Child under 10 years,690,1616,2306,Hsinbo(ST),MMR001001
 Total,3475,7180,10655,Hsinbo(ST),MMR001001
