Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),5503,66837,72340,Htantabin,MMR013006
 Associate Scrutiny Card (blue),12,36,48,Htantabin,MMR013006
 Naturalised Scrutiny Card (green),88,220,308,Htantabin,MMR013006
 National Registration Card (3-fold),137,4667,4804,Htantabin,MMR013006
 Religious card,66,392,458,Htantabin,MMR013006
 Temporary Registration Card (white),31,212,243,Htantabin,MMR013006
 Foreign Registration Card (FRC),8,1,9,Htantabin,MMR013006
 Foreign Passport,2,21,23,Htantabin,MMR013006
 None,1543,37983,39526,Htantabin,MMR013006
 Child under 10 years,1629,26404,28033,Htantabin,MMR013006
 Total,9019,136773,145792,Htantabin,MMR013006
