Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),5941,18142,24083,Indaw(ST),MMR014008
 Associate Scrutiny Card (blue),1,10,11,Indaw(ST),MMR014008
 Naturalised Scrutiny Card (green),8,29,37,Indaw(ST),MMR014008
 National Registration Card (3-fold),11,101,112,Indaw(ST),MMR014008
 Religious card,12,90,102,Indaw(ST),MMR014008
 Temporary Registration Card (white),1,13,14,Indaw(ST),MMR014008
 Foreign Passport,-,1,1,Indaw(ST),MMR014008
 None,700,4860,5560,Indaw(ST),MMR014008
 Child under 10 years,1578,6665,8243,Indaw(ST),MMR014008
 Total,8252,29911,38163,Indaw(ST),MMR014008
