Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),202895,-,202895,Insein,MMR013001
 Associate Scrutiny Card (blue),230,-,230,Insein,MMR013001
 Naturalised Scrutiny Card (green),1457,-,1457,Insein,MMR013001
 National Registration Card (3-fold),7982,-,7982,Insein,MMR013001
 Religious card,1926,-,1926,Insein,MMR013001
 Temporary Registration Card (white),2051,-,2051,Insein,MMR013001
 Foreign Registration Card (FRC),193,-,193,Insein,MMR013001
 Foreign Passport,337,-,337,Insein,MMR013001
 None,48116,-,48116,Insein,MMR013001
 Child under 10 years,40096,-,40096,Insein,MMR013001
 Total,305283,-,305283,Insein,MMR013001
