Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),5307,6265,11572,Khamaukgyi,MMR006009
 Associate Scrutiny Card (blue),8,7,15,Khamaukgyi,MMR006009
 Naturalised Scrutiny Card (green),17,41,58,Khamaukgyi,MMR006009
 National Registration Card (3-fold),146,326,472,Khamaukgyi,MMR006009
 Religious card,11,35,46,Khamaukgyi,MMR006009
 Temporary Registration Card (white),50,36,86,Khamaukgyi,MMR006009
 Foreign Registration Card (FRC),-,2,2,Khamaukgyi,MMR006009
 Foreign Passport,1,4,5,Khamaukgyi,MMR006009
 None,2702,2806,5508,Khamaukgyi,MMR006009
 Child under 10 years,2515,2761,5276,Khamaukgyi,MMR006009
 Total,10757,12283,23040,Khamaukgyi,MMR006009
