Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),7543,81208,88751,Khin U,MMR005005
 Associate Scrutiny Card (blue),1,23,24,Khin U,MMR005005
 Naturalised Scrutiny Card (green),12,195,207,Khin U,MMR005005
 National Registration Card (3-fold),73,953,1026,Khin U,MMR005005
 Religious card,61,557,618,Khin U,MMR005005
 Temporary Registration Card (white),26,170,196,Khin U,MMR005005
 Foreign Passport,2,26,28,Khin U,MMR005005
 None,1952,29373,31325,Khin U,MMR005005
 Child under 10 years,1664,22618,24282,Khin U,MMR005005
 Total,11334,135123,146457,Khin U,MMR005005
