Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),10421,48134,58555,Kungyangon,MMR013029
 Associate Scrutiny Card (blue),7,34,41,Kungyangon,MMR013029
 Naturalised Scrutiny Card (green),25,144,169,Kungyangon,MMR013029
 National Registration Card (3-fold),121,1859,1980,Kungyangon,MMR013029
 Religious card,178,357,535,Kungyangon,MMR013029
 Temporary Registration Card (white),67,319,386,Kungyangon,MMR013029
 Foreign Registration Card (FRC),2,3,5,Kungyangon,MMR013029
 Foreign Passport,2,23,25,Kungyangon,MMR013029
 None,3268,26166,29434,Kungyangon,MMR013029
 Child under 10 years,2536,17966,20502,Kungyangon,MMR013029
 Total,16627,95005,111632,Kungyangon,MMR013029
