Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),2283,12031,14314,Kyaidon(ST),MMR003007
 Associate Scrutiny Card (blue),-,15,15,Kyaidon(ST),MMR003007
 Naturalised Scrutiny Card (green),4,27,31,Kyaidon(ST),MMR003007
 National Registration Card (3-fold),28,285,313,Kyaidon(ST),MMR003007
 Religious card,5,73,78,Kyaidon(ST),MMR003007
 Temporary Registration Card (white),6,200,206,Kyaidon(ST),MMR003007
 Foreign Registration Card (FRC),-,13,13,Kyaidon(ST),MMR003007
 Foreign Passport,-,5,5,Kyaidon(ST),MMR003007
 None,479,26586,27065,Kyaidon(ST),MMR003007
 Child under 10 years,710,15188,15898,Kyaidon(ST),MMR003007
 Total,3515,54423,57938,Kyaidon(ST),MMR003007
