Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),6436,12861,19297,Kyaukmyaung(ST),MMR005004
 Associate Scrutiny Card (blue),1,2,3,Kyaukmyaung(ST),MMR005004
 Naturalised Scrutiny Card (green),29,7,36,Kyaukmyaung(ST),MMR005004
 National Registration Card (3-fold),97,156,253,Kyaukmyaung(ST),MMR005004
 Religious card,47,104,151,Kyaukmyaung(ST),MMR005004
 Temporary Registration Card (white),6,54,60,Kyaukmyaung(ST),MMR005004
 Foreign Registration Card (FRC),-,2,2,Kyaukmyaung(ST),MMR005004
 Foreign Passport,7,3,10,Kyaukmyaung(ST),MMR005004
 None,2217,3930,6147,Kyaukmyaung(ST),MMR005004
 Child under 10 years,1863,3443,5306,Kyaukmyaung(ST),MMR005004
 Total,10703,20562,31265,Kyaukmyaung(ST),MMR005004
