Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),30235,141261,171496,Kyaukpadaung,MMR010020
 Associate Scrutiny Card (blue),9,24,33,Kyaukpadaung,MMR010020
 Naturalised Scrutiny Card (green),21,132,153,Kyaukpadaung,MMR010020
 National Registration Card (3-fold),31,406,437,Kyaukpadaung,MMR010020
 Religious card,650,1037,1687,Kyaukpadaung,MMR010020
 Temporary Registration Card (white),108,156,264,Kyaukpadaung,MMR010020
 Foreign Registration Card (FRC),1,-,1,Kyaukpadaung,MMR010020
 Foreign Passport,9,35,44,Kyaukpadaung,MMR010020
 None,5517,35835,41352,Kyaukpadaung,MMR010020
 Child under 10 years,6236,40205,46441,Kyaukpadaung,MMR010020
 Total,42817,219091,261908,Kyaukpadaung,MMR010020
