Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),22278,-,22278,Kyauktada,MMR013033
 Associate Scrutiny Card (blue),541,-,541,Kyauktada,MMR013033
 Naturalised Scrutiny Card (green),751,-,751,Kyauktada,MMR013033
 National Registration Card (3-fold),594,-,594,Kyauktada,MMR013033
 Religious card,3,-,3,Kyauktada,MMR013033
 Temporary Registration Card (white),101,-,101,Kyauktada,MMR013033
 Foreign Registration Card (FRC),228,-,228,Kyauktada,MMR013033
 Foreign Passport,546,-,546,Kyauktada,MMR013033
 None,2224,-,2224,Kyauktada,MMR013033
 Child under 10 years,2587,-,2587,Kyauktada,MMR013033
 Total,29853,-,29853,Kyauktada,MMR013033
