Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),3861,11133,14994,Kyeintali(ST),MMR012017
 Associate Scrutiny Card (blue),3,2,5,Kyeintali(ST),MMR012017
 Naturalised Scrutiny Card (green),3,20,23,Kyeintali(ST),MMR012017
 National Registration Card (3-fold),28,211,239,Kyeintali(ST),MMR012017
 Religious card,20,55,75,Kyeintali(ST),MMR012017
 Temporary Registration Card (white),14,71,85,Kyeintali(ST),MMR012017
 Foreign Registration Card (FRC),1,1,2,Kyeintali(ST),MMR012017
 Foreign Passport,-,1,1,Kyeintali(ST),MMR012017
 None,1124,3765,4889,Kyeintali(ST),MMR012017
 Child under 10 years,824,2444,3268,Kyeintali(ST),MMR012017
 Total,5878,17703,23581,Kyeintali(ST),MMR012017
