Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),19468,-,19468,Latha,MMR013036
 Associate Scrutiny Card (blue),927,-,927,Latha,MMR013036
 Naturalised Scrutiny Card (green),920,-,920,Latha,MMR013036
 National Registration Card (3-fold),125,-,125,Latha,MMR013036
 Religious card,20,-,20,Latha,MMR013036
 Temporary Registration Card (white),123,-,123,Latha,MMR013036
 Foreign Registration Card (FRC),209,-,209,Latha,MMR013036
 Foreign Passport,138,-,138,Latha,MMR013036
 None,1662,-,1662,Latha,MMR013036
 Child under 10 years,1465,-,1465,Latha,MMR013036
 Total,25057,-,25057,Latha,MMR013036
