Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),197,6409,6606,Makman,MMR015024
 Associate Scrutiny Card (blue),-,5,5,Makman,MMR015024
 Naturalised Scrutiny Card (green),1,15,16,Makman,MMR015024
 National Registration Card (3-fold),1,21,22,Makman,MMR015024
 Religious card,6,27,33,Makman,MMR015024
 Temporary Registration Card (white),1,3,4,Makman,MMR015024
 Foreign Passport,-,4,4,Makman,MMR015024
 None,38,7071,7109,Makman,MMR015024
 Child under 10 years,48,5885,5933,Makman,MMR015024
 Total,292,19440,19732,Makman,MMR015024
